date,transaction_id,stockcode,product,customer_id,price,quantity
2024-01-01,INV000026,85050,CHOCOLATE BAR,CUST0157,19.88,1
2024-01-01,INV000026,22093,RETROSPOT CHARACTER PENCIL CASE,CUST0157,3.35,2
2024-01-01,INV000026,22112,RETROSPOT CHARACTER APRON,CUST0157,17.76,1
2024-01-01,INV000026,22867,LUNCH BAG BLUE RETROSPOT,CUST0157,8.4,5
2024-01-01,INV000026,84826,MAGNETIC CALENDAR,CUST0157,9.07,1
2024-01-01,INV000026,22616,WOODEN PLAY KITCHEN SET,CUST0157,19.84,1
2024-01-01,INV000052,22629,SPACEGIRL LUNCH BOX,CUST0182,7.83,1
2024-01-01,INV000052,22094,POLKADOT CHARACTER PENCIL CASE,CUST0182,24.97,5
2024-01-01,INV000058,22095,STRIPE CHARACTER PENCIL CASE,CUST0051,20.39,1
2024-01-01,INV000134,22101,STRIPE CHARACTER LUNCH BAG,CUST0131,4.57,2
2024-01-01,INV000194,21979,PINK HOT WATER BOTTLE,CUST0191,22.65,1
2024-01-01,INV000194,22639,CHILDRENS CUTLERY WOODY BOY,CUST0191,18.51,1
2024-01-01,INV000194,84969,PLASTERS IN TIN SPACEBOY,CUST0191,21.24,3
2024-01-01,INV000194,84190,BLUE POLKADOT MUG,CUST0191,13.52,3
2024-01-01,INV000422,84972,PLASTERS IN TIN STRONG MAN,CUST0147,8.57,1
2024-01-01,INV000422,85050,CHOCOLATE BAR,CUST0147,17.15,1
2024-01-01,INV000422,22632,HAND WARMER UNION JACK,CUST0147,9.08,1
2024-01-01,INV000422,84971,PLASTERS IN TIN CIRCUS,CUST0147,18.02,2
2024-01-01,INV000422,22719,BIRTHDAY CANDLES BLUE,CUST0147,6.67,4
2024-01-01,INV000667,21978,CHOCOLATE HOT WATER BOTTLE,CUST0025,24.12,1
2024-01-01,INV000667,22638,CHILDRENS CUTLERY DOLLY GIRL,CUST0025,18.64,2
2024-01-01,INV000667,22752,SET 7 BABUSHKA NESTING BOXES,CUST0025,5.56,1
2024-01-01,INV000793,22613,WOODEN PLAY GARDEN SET,CUST0160,14.79,1
2024-01-01,INV000793,22622,LUNCH BAG SPACEBOY DESIGN,CUST0160,3.96,2
2024-01-01,INV000886,22611,WOODEN PLAY VET SET,CUST0150,3.64,1
2024-01-01,INV000886,22624,LUNCH BAG FLOWER DESIGN,CUST0150,2.45,4
2024-01-02,INV000081,21212,CERAMIC HEART FAIRY CAKE MONEY BOX,CUST0068,6.18,2
2024-01-02,INV000107,21978,CHOCOLATE HOT WATER BOTTLE,CUST0092,22.04,2
2024-01-02,INV000107,85052,CHOCOLATE BAR,CUST0092,20.91,3
2024-01-02,INV000107,22464,YELLOW RETROSPOT MUG,CUST0092,2.08,2
2024-01-02,INV000185,22472,WOODEN TOY BOAT SET,CUST0145,10.28,1
2024-01-02,INV000185,22637,CHILDRENS CUTLERY SPACEGIRL,CUST0145,3.9,2
2024-01-02,INV000243,23087,PACK OF 72 FLORAL CAKE CASES,CUST0022,20.4,3
2024-01-02,INV000243,84969,PLASTERS IN TIN SPACEBOY,CUST0022,23.56,2
2024-01-02,INV000243,22381,CHRISTMAS BUNTING,CUST0022,4.32,1
2024-01-02,INV000243,22627,LUNCH BAG APPLE DESIGN,CUST0022,13.65,1
2024-01-02,INV000280,22463,GREEN RETROSPOT MUG,CUST0038,11.88,4
2024-01-02,INV000280,84187,RED RETROSPOT MUG,CUST0038,15.42,1
2024-01-02,INV000280,85051,CHOCOLATE BAR,CUST0038,18.21,1
2024-01-02,INV000291,22612,WOODEN PLAY DOCTOR SET,CUST0095,22.81,1
2024-01-02,INV000300,22749,POPPYS PLAYHOUSE HALL SET,CUST0169,21.24,1
2024-01-02,INV000300,22095,STRIPE CHARACTER PENCIL CASE,CUST0169,20.77,1
2024-01-02,INV000300,22349,CHILDS GARDEN RAKE PINK,CUST0169,14.81,2
2024-01-02,INV000336,22747,POPPYS PLAYHOUSE KITCHEN SET,CUST0093,1.93,1
2024-01-02,INV000336,22745,POPPYS PLAYHOUSE BEDROOM SET,CUST0093,16.02,3
2024-01-02,INV000336,21212,CERAMIC HEART FAIRY CAKE MONEY BOX,CUST0093,7.02,4
2024-01-02,INV000336,22617,WOODEN PLAY FOOD SET,CUST0093,22.07,1
2024-01-02,INV000336,22636,CHILDRENS CUTLERY SPACEBOY,CUST0093,12.66,1
2024-01-02,INV000336,22748,POPPYS PLAYHOUSE BATHROOM SET,CUST0093,22.51,1
2024-01-02,INV000416,22615,WOODEN PLAY SHOP SET,CUST0184,22.75,4
2024-01-02,INV000416,22345,CHILDS GARDEN SPADE BLUE,CUST0184,2.59,2
2024-01-02,INV000499,22867,LUNCH BAG BLUE RETROSPOT,CUST0033,7.82,1
2024-01-02,INV000499,22615,WOODEN PLAY SHOP SET,CUST0033,25.52,1
2024-01-02,INV000499,84879,ASSORTED COLOUR BIRD ORNAMENTS,CUST0033,5.51,3
2024-01-02,INV000627,84971,PLASTERS IN TIN CIRCUS,CUST0059,15.72,1
2024-01-02,INV000702,22346,CHILDS GARDEN SPADE PINK,CUST0031,15.45,1
2024-01-02,INV000702,22628,SPACEBOY LUNCH BOX,CUST0031,21.74,1
2024-01-02,INV000702,22613,WOODEN PLAY GARDEN SET,CUST0031,15.4,1
2024-01-02,INV000728,22094,POLKADOT CHARACTER PENCIL CASE,CUST0200,26.66,1
2024-01-02,INV000728,22624,LUNCH BAG FLOWER DESIGN,CUST0200,2.46,1
2024-01-02,INV000786,22102,FLORAL CHARACTER LUNCH BAG,CUST0106,21.89,1
2024-01-02,INV000786,84406B,CREAM CUPID HEARTS COAT HANGER,CUST0106,17.59,1
2024-01-02,INV000786,22613,WOODEN PLAY GARDEN SET,CUST0106,14.59,1
2024-01-02,INV000786,22624,LUNCH BAG FLOWER DESIGN,CUST0106,2.45,1
2024-01-02,INV000786,22095,STRIPE CHARACTER PENCIL CASE,CUST0106,19.56,2
